User_ID,Age,Gender,Weekly_Reading_Time(hours),Mood_Impact,Genre_Biography,Genre_Fantasy,Genre_Fiction,Genre_History,Genre_Romance,Genre_Science,Genre_Self-Help
1,24,f,6,Positive,0,0,1,0,0,0,0
2,32,m,2,Neutral,0,0,0,0,0,1,0
3,18,f,8,Positive,0,0,0,0,1,0,0
4,45,m,3,Neutral,0,0,0,1,0,0,0
5,29,f,10,Positive,0,1,0,0,0,0,0
6,40,m,1,Negative,1,0,0,0,0,0,0
7,21,f,5,Positive,0,0,0,0,0,0,1
8,36,m,2,Neutral,0,0,1,0,0,0,0
9,50,f,1,Negative,0,0,0,0,0,1,0
10,27,m,7,Positive,0,1,0,0,0,0,0
11,34,f,6,Positive,0,0,0,0,1,0,0
12,22,m,4,Positive,0,0,0,0,0,0,1
13,48,f,2,Neutral,1,0,0,0,0,0,0
14,31,m,9,Positive,0,0,1,0,0,0,0
15,25,f,5,Positive,0,1,0,0,0,0,0
16,39,m,3,Neutral,0,0,0,1,0,0,0
17,30,f,7,Positive,0,0,0,0,1,0,0
18,44,m,1,Negative,0,0,0,0,0,1,0
19,20,f,8,Positive,0,0,0,0,0,0,1
20,29,m,2,Neutral,0,0,1,0,0,0,0
21,41,f,1,Negative,1,0,0,0,0,0,0
22,23,m,5,Positive,0,1,0,0,0,0,0
23,38,f,7,Positive,0,0,1,0,0,0,0
24,46,m,3,Neutral,0,0,0,0,0,1,0
25,28,f,9,Positive,0,0,0,0,1,0,0
26,35,m,2,Neutral,0,0,0,0,0,0,1
27,19,f,8,Positive,0,1,0,0,0,0,0
28,42,m,1,Negative,0,0,0,1,0,0,0
29,37,f,6,Positive,0,0,1,0,0,0,0
30,33,m,4,Neutral,0,0,0,0,0,1,0
31,26,f,7,Positive,0,0,0,0,0,0,1
32,47,m,1,Negative,1,0,0,0,0,0,0
33,21,f,5,Positive,0,0,0,0,1,0,0
34,49,m,3,Neutral,0,0,1,0,0,0,0
35,22,f,10,Positive,0,1,0,0,0,0,0
36,43,m,2,Negative,0,0,0,0,0,1,0
37,24,f,3,Neutral,1,0,0,0,0,0,0
38,50,m,4,Positive,0,0,0,0,0,0,1
39,19,f,7,Positive,0,1,0,0,0,0,0
40,45,m,1,Negative,0,0,0,1,0,0,0
41,23,f,6,Positive,0,0,0,0,1,0,0
42,39,m,8,Positive,0,0,1,0,0,0,0
43,32,f,2,Neutral,0,0,0,0,0,1,0
44,20,m,5,Positive,0,0,0,0,0,0,1
45,48,f,4,Positive,0,1,0,0,0,0,0
46,27,m,1,Negative,1,0,0,0,0,0,0
47,38,f,3,Neutral,0,0,0,1,0,0,0
48,34,m,6,Positive,0,0,0,0,1,0,0
49,28,f,5,Positive,0,0,1,0,0,0,0
50,31,m,7,Positive,0,1,0,0,0,0,0
51,40,f,2,Negative,0,0,0,0,0,1,0
52,25,m,8,Positive,0,0,0,0,0,0,1
53,22,f,9,Positive,0,0,1,0,0,0,0
54,36,m,1,Neutral,1,0,0,0,0,0,0
55,26,f,4,Positive,0,0,0,0,1,0,0
56,42,m,6,Positive,0,1,0,0,0,0,0
57,29,f,3,Neutral,0,0,0,0,0,1,0
58,41,m,5,Positive,0,0,0,0,0,0,1
59,23,f,7,Positive,0,0,1,0,0,0,0
60,47,m,2,Negative,1,0,0,0,0,0,0
61,35,f,8,Positive,0,0,0,0,1,0,0
62,20,m,9,Positive,0,1,0,0,0,0,0
63,33,f,1,Negative,0,0,0,0,0,1,0
64,30,m,6,Positive,0,0,0,0,0,0,1
65,44,f,3,Neutral,0,0,0,1,0,0,0
