User_ID,Age,Gender,Weekly_Reading_Time(hours),Mood_Impact,Genre_Biography,Genre_Fantasy,Genre_Fiction,Genre_History,Genre_Romance,Genre_Science,Genre_Self-Help
1,24,0,6,2,0,0,1,0,0,0,0
2,32,1,2,1,0,0,0,0,0,1,0
3,18,0,8,2,0,0,0,0,1,0,0
4,45,1,3,1,0,0,0,1,0,0,0
5,29,0,10,2,0,1,0,0,0,0,0
6,40,1,1,0,1,0,0,0,0,0,0
7,21,0,5,2,0,0,0,0,0,0,1
8,36,1,2,1,0,0,1,0,0,0,0
9,50,0,1,0,0,0,0,0,0,1,0
10,27,1,7,2,0,1,0,0,0,0,0
11,34,0,6,2,0,0,0,0,1,0,0
12,22,1,4,2,0,0,0,0,0,0,1
13,48,0,2,1,1,0,0,0,0,0,0
14,31,1,9,2,0,0,1,0,0,0,0
15,25,0,5,2,0,1,0,0,0,0,0
16,39,1,3,1,0,0,0,1,0,0,0
17,30,0,7,2,0,0,0,0,1,0,0
18,44,1,1,0,0,0,0,0,0,1,0
19,20,0,8,2,0,0,0,0,0,0,1
20,29,1,2,1,0,0,1,0,0,0,0
21,41,0,1,0,1,0,0,0,0,0,0
22,23,1,5,2,0,1,0,0,0,0,0
23,38,0,7,2,0,0,1,0,0,0,0
24,46,1,3,1,0,0,0,0,0,1,0
25,28,0,9,2,0,0,0,0,1,0,0
26,35,1,2,1,0,0,0,0,0,0,1
27,19,0,8,2,0,1,0,0,0,0,0
28,42,1,1,0,0,0,0,1,0,0,0
29,37,0,6,2,0,0,1,0,0,0,0
30,33,1,4,1,0,0,0,0,0,1,0
31,26,0,7,2,0,0,0,0,0,0,1
32,47,1,1,0,1,0,0,0,0,0,0
33,21,0,5,2,0,0,0,0,1,0,0
34,49,1,3,1,0,0,1,0,0,0,0
35,22,0,10,2,0,1,0,0,0,0,0
36,43,1,2,0,0,0,0,0,0,1,0
37,24,0,3,1,1,0,0,0,0,0,0
38,50,1,4,2,0,0,0,0,0,0,1
39,19,0,7,2,0,1,0,0,0,0,0
40,45,1,1,0,0,0,0,1,0,0,0
41,23,0,6,2,0,0,0,0,1,0,0
42,39,1,8,2,0,0,1,0,0,0,0
43,32,0,2,1,0,0,0,0,0,1,0
44,20,1,5,2,0,0,0,0,0,0,1
45,48,0,4,2,0,1,0,0,0,0,0
46,27,1,1,0,1,0,0,0,0,0,0
47,38,0,3,1,0,0,0,1,0,0,0
48,34,1,6,2,0,0,0,0,1,0,0
49,28,0,5,2,0,0,1,0,0,0,0
50,31,1,7,2,0,1,0,0,0,0,0
51,40,0,2,0,0,0,0,0,0,1,0
52,25,1,8,2,0,0,0,0,0,0,1
53,22,0,9,2,0,0,1,0,0,0,0
54,36,1,1,1,1,0,0,0,0,0,0
55,26,0,4,2,0,0,0,0,1,0,0
56,42,1,6,2,0,1,0,0,0,0,0
57,29,0,3,1,0,0,0,0,0,1,0
58,41,1,5,2,0,0,0,0,0,0,1
59,23,0,7,2,0,0,1,0,0,0,0
60,47,1,2,0,1,0,0,0,0,0,0
61,35,0,8,2,0,0,0,0,1,0,0
62,20,1,9,2,0,1,0,0,0,0,0
63,33,0,1,0,0,0,0,0,0,1,0
64,30,1,6,2,0,0,0,0,0,0,1
65,44,0,3,1,0,0,0,1,0,0,0
