User_ID,Age,Gender,Favorite_Book_Genre,Weekly_Reading_Time(hours),Mood_Impact,Favorite_Book_Genre_0,Favorite_Book_Genre_1,Favorite_Book_Genre_2,Favorite_Book_Genre_3,Favorite_Book_Genre_4,Favorite_Book_Genre_5,Favorite_Book_Genre_6
1,24,f,2,6,Positive,False,False,True,False,False,False,False
2,32,m,5,2,Neutral,False,False,False,False,False,True,False
3,18,f,4,8,Positive,False,False,False,False,True,False,False
4,45,m,3,3,Neutral,False,False,False,True,False,False,False
5,29,f,1,10,Positive,False,True,False,False,False,False,False
6,40,m,0,1,Negative,True,False,False,False,False,False,False
7,21,f,6,5,Positive,False,False,False,False,False,False,True
8,36,m,2,2,Neutral,False,False,True,False,False,False,False
9,50,f,5,1,Negative,False,False,False,False,False,True,False
10,27,m,1,7,Positive,False,True,False,False,False,False,False
11,34,f,4,6,Positive,False,False,False,False,True,False,False
12,22,m,6,4,Positive,False,False,False,False,False,False,True
13,48,f,0,2,Neutral,True,False,False,False,False,False,False
14,31,m,2,9,Positive,False,False,True,False,False,False,False
15,25,f,1,5,Positive,False,True,False,False,False,False,False
16,39,m,3,3,Neutral,False,False,False,True,False,False,False
17,30,f,4,7,Positive,False,False,False,False,True,False,False
18,44,m,5,1,Negative,False,False,False,False,False,True,False
19,20,f,6,8,Positive,False,False,False,False,False,False,True
20,29,m,2,2,Neutral,False,False,True,False,False,False,False
21,41,f,0,1,Negative,True,False,False,False,False,False,False
22,23,m,1,5,Positive,False,True,False,False,False,False,False
23,38,f,2,7,Positive,False,False,True,False,False,False,False
24,46,m,5,3,Neutral,False,False,False,False,False,True,False
25,28,f,4,9,Positive,False,False,False,False,True,False,False
26,35,m,6,2,Neutral,False,False,False,False,False,False,True
27,19,f,1,8,Positive,False,True,False,False,False,False,False
28,42,m,3,1,Negative,False,False,False,True,False,False,False
29,37,f,2,6,Positive,False,False,True,False,False,False,False
30,33,m,5,4,Neutral,False,False,False,False,False,True,False
31,26,f,6,7,Positive,False,False,False,False,False,False,True
32,47,m,0,1,Negative,True,False,False,False,False,False,False
33,21,f,4,5,Positive,False,False,False,False,True,False,False
34,49,m,2,3,Neutral,False,False,True,False,False,False,False
35,22,f,1,10,Positive,False,True,False,False,False,False,False
36,43,m,5,2,Negative,False,False,False,False,False,True,False
37,24,f,0,3,Neutral,True,False,False,False,False,False,False
38,50,m,6,4,Positive,False,False,False,False,False,False,True
39,19,f,1,7,Positive,False,True,False,False,False,False,False
40,45,m,3,1,Negative,False,False,False,True,False,False,False
41,23,f,4,6,Positive,False,False,False,False,True,False,False
42,39,m,2,8,Positive,False,False,True,False,False,False,False
43,32,f,5,2,Neutral,False,False,False,False,False,True,False
44,20,m,6,5,Positive,False,False,False,False,False,False,True
45,48,f,1,4,Positive,False,True,False,False,False,False,False
46,27,m,0,1,Negative,True,False,False,False,False,False,False
47,38,f,3,3,Neutral,False,False,False,True,False,False,False
48,34,m,4,6,Positive,False,False,False,False,True,False,False
49,28,f,2,5,Positive,False,False,True,False,False,False,False
50,31,m,1,7,Positive,False,True,False,False,False,False,False
51,40,f,5,2,Negative,False,False,False,False,False,True,False
52,25,m,6,8,Positive,False,False,False,False,False,False,True
53,22,f,2,9,Positive,False,False,True,False,False,False,False
54,36,m,0,1,Neutral,True,False,False,False,False,False,False
55,26,f,4,4,Positive,False,False,False,False,True,False,False
56,42,m,1,6,Positive,False,True,False,False,False,False,False
57,29,f,5,3,Neutral,False,False,False,False,False,True,False
58,41,m,6,5,Positive,False,False,False,False,False,False,True
59,23,f,2,7,Positive,False,False,True,False,False,False,False
60,47,m,0,2,Negative,True,False,False,False,False,False,False
61,35,f,4,8,Positive,False,False,False,False,True,False,False
62,20,m,1,9,Positive,False,True,False,False,False,False,False
63,33,f,5,1,Negative,False,False,False,False,False,True,False
64,30,m,6,6,Positive,False,False,False,False,False,False,True
65,44,f,3,3,Neutral,False,False,False,True,False,False,False
