User_ID,Age,Gender,Favorite_Book_Genre,Weekly_Reading_Time(hours),Mood_Impact,Genre_Biography,Genre_Fantasy,Genre_Fiction,Genre_History,Genre_Romance,Genre_Science,Genre_Self-Help
1,24,f,Fiction,6,Positive,0,0,1,0,0,0,0
2,32,m,Science,2,Neutral,0,0,0,0,0,1,0
3,18,f,Romance,8,Positive,0,0,0,0,1,0,0
4,45,m,History,3,Neutral,0,0,0,1,0,0,0
5,29,f,Fantasy,10,Positive,0,1,0,0,0,0,0
6,40,m,Biography,1,Negative,1,0,0,0,0,0,0
7,21,f,Self-Help,5,Positive,0,0,0,0,0,0,1
8,36,m,Fiction,2,Neutral,0,0,1,0,0,0,0
9,50,f,Science,1,Negative,0,0,0,0,0,1,0
10,27,m,Fantasy,7,Positive,0,1,0,0,0,0,0
11,34,f,Romance,6,Positive,0,0,0,0,1,0,0
12,22,m,Self-Help,4,Positive,0,0,0,0,0,0,1
13,48,f,Biography,2,Neutral,1,0,0,0,0,0,0
14,31,m,Fiction,9,Positive,0,0,1,0,0,0,0
15,25,f,Fantasy,5,Positive,0,1,0,0,0,0,0
16,39,m,History,3,Neutral,0,0,0,1,0,0,0
17,30,f,Romance,7,Positive,0,0,0,0,1,0,0
18,44,m,Science,1,Negative,0,0,0,0,0,1,0
19,20,f,Self-Help,8,Positive,0,0,0,0,0,0,1
20,29,m,Fiction,2,Neutral,0,0,1,0,0,0,0
21,41,f,Biography,1,Negative,1,0,0,0,0,0,0
22,23,m,Fantasy,5,Positive,0,1,0,0,0,0,0
23,38,f,Fiction,7,Positive,0,0,1,0,0,0,0
24,46,m,Science,3,Neutral,0,0,0,0,0,1,0
25,28,f,Romance,9,Positive,0,0,0,0,1,0,0
26,35,m,Self-Help,2,Neutral,0,0,0,0,0,0,1
27,19,f,Fantasy,8,Positive,0,1,0,0,0,0,0
28,42,m,History,1,Negative,0,0,0,1,0,0,0
29,37,f,Fiction,6,Positive,0,0,1,0,0,0,0
30,33,m,Science,4,Neutral,0,0,0,0,0,1,0
31,26,f,Self-Help,7,Positive,0,0,0,0,0,0,1
32,47,m,Biography,1,Negative,1,0,0,0,0,0,0
33,21,f,Romance,5,Positive,0,0,0,0,1,0,0
34,49,m,Fiction,3,Neutral,0,0,1,0,0,0,0
35,22,f,Fantasy,10,Positive,0,1,0,0,0,0,0
36,43,m,Science,2,Negative,0,0,0,0,0,1,0
37,24,f,Biography,3,Neutral,1,0,0,0,0,0,0
38,50,m,Self-Help,4,Positive,0,0,0,0,0,0,1
39,19,f,Fantasy,7,Positive,0,1,0,0,0,0,0
40,45,m,History,1,Negative,0,0,0,1,0,0,0
41,23,f,Romance,6,Positive,0,0,0,0,1,0,0
42,39,m,Fiction,8,Positive,0,0,1,0,0,0,0
43,32,f,Science,2,Neutral,0,0,0,0,0,1,0
44,20,m,Self-Help,5,Positive,0,0,0,0,0,0,1
45,48,f,Fantasy,4,Positive,0,1,0,0,0,0,0
46,27,m,Biography,1,Negative,1,0,0,0,0,0,0
47,38,f,History,3,Neutral,0,0,0,1,0,0,0
48,34,m,Romance,6,Positive,0,0,0,0,1,0,0
49,28,f,Fiction,5,Positive,0,0,1,0,0,0,0
50,31,m,Fantasy,7,Positive,0,1,0,0,0,0,0
51,40,f,Science,2,Negative,0,0,0,0,0,1,0
52,25,m,Self-Help,8,Positive,0,0,0,0,0,0,1
53,22,f,Fiction,9,Positive,0,0,1,0,0,0,0
54,36,m,Biography,1,Neutral,1,0,0,0,0,0,0
55,26,f,Romance,4,Positive,0,0,0,0,1,0,0
56,42,m,Fantasy,6,Positive,0,1,0,0,0,0,0
57,29,f,Science,3,Neutral,0,0,0,0,0,1,0
58,41,m,Self-Help,5,Positive,0,0,0,0,0,0,1
59,23,f,Fiction,7,Positive,0,0,1,0,0,0,0
60,47,m,Biography,2,Negative,1,0,0,0,0,0,0
61,35,f,Romance,8,Positive,0,0,0,0,1,0,0
62,20,m,Fantasy,9,Positive,0,1,0,0,0,0,0
63,33,f,Science,1,Negative,0,0,0,0,0,1,0
64,30,m,Self-Help,6,Positive,0,0,0,0,0,0,1
65,44,f,History,3,Neutral,0,0,0,1,0,0,0
